ID	LABEL	TEXT
241	unknown	take tinsel
242	learn-14-1	read letter to woman
243	unknown	throck shrub
244	investigate-35.4	x nest
245	roll-51.3.1	drop spectacles
246	put_direction-9.4	drop knapsack
247	push-12-1-1	push dusty s
248	roll-51.3.1	drop small key
249	sight-30.2	x sonar
250	body_internal_states-40.6	shake safe
251	push-12-1	pull cloth
252	learn-14-1	read warning note
253	unknown	put ticket in slot
254	unknown	put skink in pocket
255	learn-14-1	read warped
256	peer-30.3	look in closet
257	learn-14-1	learn ozmoo
258	roll-51.3.1	drop it and pliers
259	crane-40.3.2	close outer door
260	run-51.3.2	stage
261	unknown	stand
262	unknown	get puzzle box
263	transfer_mesg-37.1.1	show it to holmes
264	roll-51.3.1	turn ring to seventh symbol
265	put-9.1-2	put icicle on lump
266	put_direction-9.4	drop water
267	put_direction-9.4	drop telescope
268	unknown	put packet in pan
269	transfer_mesg-37.1.1	show can to pet
270	unknown	put coffin in case
271	put-9.1-2	put gear on post
272	investigate-35.4	examine table
273	learn-14-2-1	read subway
274	unknown	get real mirror
275	investigate-35.4	x keys
276	unknown	get booklet
277	spatial_configuration-47.6	open box
278	unknown	get drawing paper
279	other_cos-45.4	knight, open flagstone
280	carry-11.4-1-1	push moldy n
281	unknown	foblub yupple
282	touch-20-1	touch wood with pole
283	fulfilling-13.4.1	show scrap to chuckles
284	unknown	take key
285	throw-17.1-1-1	throw axe at cord
286	sight-30.2	examine toadstools
287	sight-30.2	examine memorial
288	sight-30.2	x desk
289	pour-9.5	pour water on net
290	run-51.3.2	go to statue
291	unknown	get cage
292	cut-21.1-1	cut green with scalpel
293	sight-30.2	x bay
294	unknown	get paper
295	unknown	take cup
296	escape-51.1-1	enter shower
297	investigate-35.4	x blocks
298	fulfilling-13.4.1	show keepsake to knight
299	remove-10.1	remove mask
300	put_direction-9.4	drop first brick
301	put_direction-9.4	drop fork
302	learn-14-2-1	read brittle scroll
303	modes_of_being_with_motion-47.3	wave sceptre
304	search-35.2	search pizza
305	other_cos-45.4	fill jug
306	unknown	get golden cluster
307	crane-40.3.2	open toilet
308	sight-30.2	examine boots
309	simple_dressing-41.3.1	wear tourniquet
310	unknown	put crossbow in sack
311	sight-30.2	examine axe
312	roll-51.3.1	drop rope
313	investigate-35.4	x sequence stud
314	sight-30.2	examine garlic
315	investigate-35.4	examine splinter
316	escape-51.1-1	enter pram
317	unknown	get flowerpot
318	roll-51.3.1	drop matches
319	other_cos-45.4	open washing machine
320	unknown	turn on magnet
321	give-13.1-1	give headdress to shaman
322	sight-30.2	examine red statuette
323	crane-40.3.2	open green bottle
324	carry-11.4-1-1	push demeter northwest
325	investigate-35.4	examine vegetable plot
326	crane-40.3.2	open pot
327	transfer_mesg-37.1.1	show box to guard
328	sight-30.2	x studs
329	give-13.1-1	give $56
330	pour-9.5	pour water on coin
331	unknown	insert indigo card in slot
332	unknown	xyzzy
333	sight-30.2	examine items
334	peer-30.3	look under cushion
335	unknown	take all from toolshed
336	roll-51.3.1	drop chair
337	unknown	get bearskin rug
338	sight-30.2	examine bridge
339	unknown	reach into pool
340	investigate-35.4	x homing
341	unknown	get all
342	learn-14-1	read spreadsheet
343	roll-51.3.1	drop zipper
344	unknown	put match in wax
345	put-9.1-2	put bronze on left
346	give-13.1-1	give fish to grue
347	sight-30.2	examine tombs
348	unknown	insert capsule into reactor
349	unknown	put skull in case
350	break-45.1	break frame
351	sight-30.2	examine bandage
352	peer-30.3	look through window
353	hit-18.1-1	hit lamp
354	unknown	take thumb
355	unknown	take torch
356	sight-30.2	x left screen
357	unknown	put scalpel in toolkit
358	unknown	egdelp cabinet
359	roll-51.3.1	drop rubies
360	spatial_configuration-47.6	adventurer, open door
361	put-9.1-2	put golden chalice on left disc
362	investigate-35.4	x console
363	funnel-9.3-2-1	push red
364	sight-30.2	x panels
365	simple_dressing-41.3.1	wear razor
366	spatial_configuration-47.6	open piano
367	unknown	blow it
368	unknown	put wisdom in left socket
369	sight-30.2	examine light
370	put_direction-9.4	drop stone
371	say-37.7-1	say candle
372	escape-51.1-1	climb tree
373	eat-39.1-1	eat tablet
374	unknown	pulver river
375	unknown	take paper bird
376	spatial_configuration-47.6	open secret door
377	run-51.3.2	nw
378	investigate-35.4	x wheel
379	unknown	put scarab in case
380	push-12-1	pull breaker
381	unknown	put ebony in northern niche
382	crane-40.3.2	open cover
383	run-51.3.2	walk 4 paces south
384	simple_dressing-41.3.1	wear wet suit
385	carve-21.2-2	drill case with drill
386	shake-22.3-2	shake branch
387	unknown	put laudanum in blue goblet
388	unknown	look up heinrich in record
389	other_cos-45.4	open jewelry box
390	sight-30.2	examine stamps
391	sight-30.2	x hawk
392	unknown	take stone
393	unknown	take wand
394	unknown	get out of golden machine
395	sight-30.2	x thad
396	transfer_mesg-37.1.1	show brick to gnome
397	unknown	put ladder in well
398	sight-30.2	x arcade
399	sight-30.2	x keypad
400	unknown	get off chair
401	peer-30.3	look at scene
402	slide-11.2	move stone
403	unknown	put ledger in pot
404	investigate-35.4	examine shiny scroll
405	remove-10.1	remove ring
406	modes_of_being_with_motion-47.3	wave stone
407	sight-30.2	x indicator
408	peer-30.3	look into wagon
409	banish-10.2	remove glasses
410	unknown	get x12
411	peer-30.3	look under stove
412	unknown	get needle
413	other_cos-45.4	open box
414	performance-26.7-1-1	play accordion
415	unknown	gnusto meef spell
416	unknown	get memo
417	roll-51.3.1	slide o
418	unknown	get stamp
419	transfer_mesg-37.1.1	show envelope to johnny
420	roll-51.3.1	drop scrawled
421	roll-51.3.1	drop stethoscope
422	unknown	turn on switch
423	put_direction-9.4	drop net
424	unknown	put glass in crack
425	investigate-35.4	x viewscreen
426	throw-17.1-1-1	throw star at young woman
427	unknown	take dagger
428	break-45.1	break wall
429	learn-14-2-1	read scriptures
430	simple_dressing-41.3.1	wear gas mask
431	throw-17.1-1-1	throw plank
432	substance_emission-43.4	pour water on powder
433	unknown	ask belboz about me
434	unknown	set compass to hawk
435	unknown	get yellow
436	unknown	look up 1420 in map
437	spatial_configuration-47.6	open tank
438	sight-30.2	x paint splotches
439	push-12-1-1	press blue button
440	unknown	ask gnome about prinout
441	substance_emission-43.4	pour liquid on torch
442	sight-30.2	x sketch
443	sight-30.2	x flowers
444	sight-30.2	examine coffin
445	search-35.2	search foundation
446	learn-14-2-1	learn gondar
447	investigate-35.4	x temple
448	body_internal_states-40.6	shake pack
449	unknown	get scalpel
450	unknown	take all from basis
451	unknown	get out of bucket
452	unknown	ask gnome about page
453	carry-11.4	pull leaves
454	run-51.3.2	w
455	crane-40.3.2	open front door
456	unknown	get page
457	performance-26.7-1-1	play flute
458	learn-14-1	read huge tome
459	push-12-1	pull anchor
460	sight-30.2	x thing
461	crane-40.3.2	open bird
462	investigate-35.4	examine spade
463	crane-40.3.2	open car
464	unknown	tinsot water
465	unknown	take balsa beam from northern niche
466	push-12-1-1	push ass
467	unknown	get topaz
468	spatial_configuration-47.6	open demijohn
469	peer-30.3	look at controls
470	search-35.2	search table
471	unknown	gnusto cleesh spell
472	put-9.1-2	put printer on table
473	sight-30.2	examine map
474	eat-39.1-1	eat tiny bowl of porridge
475	sight-30.2	x bulbs
476	unknown	turn on hair dryer
477	learn-14-1	read glittering scroll
478	carry-11.4	pull breaker
479	eat-39.1-1	eat red goo
480	put_direction-9.4	drop pyramid
481	simple_dressing-41.3.1	wear skis
482	unknown	get all from drawer
483	unknown	get newspaper
484	other_cos-45.4	wake falcon with salts
485	other_cos-45.4	open window
486	investigate-35.4	x guard
487	unknown	get paintbrush
488	assuming_position-50	lie on bed
489	give-13.1-1	give alpha to apollonius
490	unknown	blorple 7
491	put_direction-9.4	drop coconut
492	spatial_configuration-47.6	open blue bottle
493	run-51.3.2	up
494	crane-40.3.2	open gate
495	unknown	ask george about dehlila
496	investigate-35.4	x stove
497	roll-51.3.1	drop historical
498	search-35.2	search straw
499	unknown	set compass to swallow
500	throw-17.1-1-1	throw body in pit
501	carry-11.4	pull anchor
502	investigate-35.4	x female
503	unknown	agganrw
504	crane-40.3.2	raise short pole
505	transfer_mesg-37.1.1	show note to charles
506	sight-30.2	examine thyme
507	unknown	get vellum scroll
508	unknown	take lemming
509	crane-40.3.2	open notebook
510	unknown	get rasp
511	substance_emission-43.4	pour wax on floor
512	unknown	take sketch
513	roll-51.3.1	drop shield
514	other_cos-45.4	empty torch
515	unknown	get wand
516	unknown	get treasure
517	spatial_configuration-47.6	open door with crowbar
518	unknown	blorple 3
519	carry-11.4-1-1	push statue n
520	unknown	get wine
521	investigate-35.4	examine large chair
522	unknown	take rag
523	push-12-1-1	push boulder
524	sight-30.2	x fountain
525	other_cos-45.4	melt head with torch
526	push-12-1	pull lining
527	substance_emission-43.4	pour hot porridge in gigantic bowl
528	spatial_configuration-47.6	open cube
529	carry-11.4-1-1	push yellow button
530	roll-51.3.1	slide a
531	see-30.1-1	see
532	push-12-1-1	press green button
533	carry-11.4-1-1	push green
534	unknown	get bills
535	put_direction-9.4	drop flashlight
536	unknown	launch
537	put_direction-9.4	drop all but pincer
538	give-13.1-1	give manual
539	remove-10.1	remove third brick
540	unknown	launch command
541	spatial_configuration-47.6	open pacquet of paper
542	sight-30.2	note counter
543	spatial_configuration-47.6	open receptacle
544	say-37.7-1	echo
545	learn-14-1	learn krebf
546	unknown	get club
547	learn-14-2-1	read missive
548	spatial_configuration-47.6	open drawer
549	unknown	get crown
550	unknown	get bench
551	give-13.1-1	give book to gnome
552	unknown	swanko spirit
553	put_direction-9.4	drop all but brain
554	knead-26.5	shake pan
555	unknown	get steel key
556	touch-20-1	touch ne rune with rose
557	investigate-35.4	x porous wall
558	roll-51.3.1	drop bag
559	spatial_configuration-47.6	open crate
560	spatial_configuration-47.6	open cage
561	remove-10.1	remove hood
562	put_direction-9.4	drop canteen and shuttle card
563	unknown	put coin in loans
564	unknown	rock, s
565	unknown	get device
566	put-9.1-2	put umbrella on pool
567	other_cos-45.4	open manhole with crowbar
568	give-13.1-1	give pass to reunite
569	unknown	lleps urbzig
570	investigate-35.4	examine items
571	unknown	huncho me
572	disassemble-23.3	unlock northern door with flat key
573	roll-51.3.1	drop bench
574	unknown	put compass rose in carving
575	run-51.3.2	roll statue ne
576	investigate-35.4	x tables
577	sight-30.2	note it
578	crane-40.3.2	open furnace
579	roll-51.3.1	drop all except radio
580	put-9.1-2	put wheel on peg
581	peer-30.3	look in it
582	unknown	take can
583	funnel-9.3-2-1	push bed
584	unknown	put featureless rod in coffin
585	unknown	put all except book in zipper
586	other_cos-45.4	open icebox
587	investigate-35.4	x building
588	unknown	put hand in hive
589	push-12-1-1	push demeter northwest
590	unknown	get garlic
591	unknown	take gores
592	learn-14-1	read ledger
593	investigate-35.4	examine dining table
594	cut-21.1-1	cut coconut with axe
595	sight-30.2	x device
596	tape-22.4	lock it with padlock
597	say-37.7-1	say oil
598	cut-21.1-1	cut branch with knife
599	split-23.2	ask wolf to blow turbine
600	run-51.3.2	e
601	investigate-35.4	x horriblis
602	unknown	put cube in pot
603	learn-14-2-1	learn bozbar
604	other_cos-45.4	open demijohn
605	other_cos-45.4	fill tank with air
606	push-12-1-1	push purple
607	spatial_configuration-47.6	open bottle
608	crane-40.3.2	open compartment
609	unknown	put opal cluster in knapsack
610	transfer_mesg-37.1.1	show ticket to gravedigger
611	slide-11.2-1-1	roll statue ne
612	other_cos-45.4	open bottle
613	give-13.1-1	give umbrella to girl
614	unknown	insert wishbringer in sculpture
615	other_cos-45.4	open fridge
616	crane-40.3.2	open grate
617	learn-14-1	learn malyon
618	spatial_configuration-47.6	open package
619	put_direction-9.4	drop tin
620	learn-14-1	learn taclor
621	unknown	fix bucket with acorn
622	learn-14-2-1	learn blorple
623	unknown	get diamond
624	crane-40.3.2	close zipper
625	unknown	get wishbringer
626	crane-40.3.2	open pacquet of paper
627	investigate-35.4	x cupboard
628	put_direction-9.4	drop necklace and dragon
629	substance_emission-43.4	pour water on net
630	unknown	get tube
631	give-13.1-1	give lens to norbert
632	investigate-35.4	x lye
633	unknown	ask delbin about ale
634	investigate-35.4	x cutout
635	investigate-35.4	examine bones
636	unknown	ozmoo myself
637	break-45.1	smash seal
638	investigate-35.4	examine bottle
639	unknown	set compass to crane
640	sight-30.2	examine waterfall
641	bump-18.4	strike rod of infinity
642	other_cos-45.4	open crate
643	run-51.3.2	go through north wall
644	other_cos-45.4	close locket
645	unknown	get lye
646	investigate-35.4	x car
647	remove-10.1	remove first brick
648	disassemble-23.3	unlock chain with keys
649	roll-51.3.1	drop coconut
650	unknown	get toolkit
651	unknown	take red rod
652	sight-30.2	examine lemming
653	unknown	take ball
654	carry-11.4-1-1	push boulders
655	investigate-35.4	examine ring
656	peer-30.3	look under floorboard
657	feeding-39.7	feed dog sandwich
658	unknown	put yellow powder in kettle
659	eat-39.1-1	eat brown goo
660	other_cos-45.4	open receptacle
661	unknown	light torch
662	carry-11.4-1-1	push joystick east
663	roll-51.3.1	drop newspaper
664	crane-40.3.2	close tapestry
665	unknown	ask male about work
666	roll-51.3.1	drop yo-yo
667	push-12-1-1	push bookcase
668	spatial_configuration-47.6	open locker
669	sight-30.2	examine stars
670	unknown	get heart from boat
671	unknown	take cage
672	unknown	ask gnome about mother
673	sight-30.2	examine key
674	learn-14-2-1	learn swanko
675	funnel-9.3-2-1	push rock
676	eat-39.1-2	drink medicine
677	learn-14-1	learn meef, meef and swanzo
678	push-12-1-1	press gray button
679	sight-30.2	x clover
680	other_cos-45.4	tighten joint
681	transfer_mesg-37.1.1	show note to chuckles
682	scribble-25.2	write 11 on cube
683	unknown	get miniaturization card
684	simple_dressing-41.3.1	wear clothes
685	crane-40.3.2	close torch
686	unknown	ask harry about eddie smaldone
687	touch-20-1	touch man
688	unknown	ask man about hammer
689	split-23.2	cut line with knife
690	other_cos-45.4	close oven
691	other_cos-45.4	open lab uniform
692	run-51.3.2	climb down
693	unknown	get sceptre
694	unknown	put six coins in overhead
695	roll-51.3.1	drop zm$100000
696	say-37.7-1	here kitty kitty
697	sight-30.2	x bones
698	run-51.3.2	climb rope
699	unknown	get balls
700	sight-30.2	examine blossoms
701	unknown	put paper in pocket
702	learn-14-2-1	learn liskon
703	unknown	get tin
704	spatial_configuration-47.6	open washing machine with poker
705	peer-30.3	look in hole
706	peer-30.3	look through astrolabe
707	unknown	put gray rod in pot
708	unknown	take damp scroll
709	unknown	take water
710	give-13.1-1	give gram to danielle
711	roll-51.3.1	drop stone
712	unknown	aim bazooka at pod
713	roll-51.3.1	drop matchbox
714	put_direction-9.4	drop key and brush
715	unknown	take hammer
716	unknown	put gold in unit
717	put_direction-9.4	drop pump
718	unknown	dig in tub
719	performance-26.7-1-1	play tape
720	slide-11.2-1-1	roll statue sw
721	roll-51.3.1	drop canteen and shuttle card
722	sight-30.2	x powerup stud
723	sight-30.2	x wheel
724	get-13.5.1	3
725	remove-10.1	remove glasses
726	unknown	get teapot, mat, letter opener, matchbook and paper
727	sight-30.2	x coat
728	other_cos-45.4	open dish washer
729	investigate-35.4	x pack
730	slide-11.2-1-1	slide a
731	investigate-35.4	x implementor
732	throw-17.1-1-1	throw laser into void
733	give-13.1-1	give form to barman
734	learn-14-2-1	read white book
735	investigate-35.4	x robot
736	unknown	zemdor ale
737	disassemble-23.3	unlock lock with lockpick
738	unknown	put cereal in pot
739	unknown	get gumball
740	split-23.2	cut line with dagger
741	carry-11.4	pull cloth
742	push-12-1-1	press sequence stud
743	simple_dressing-41.3.1	wear hat
744	roll-51.3.1	drop all except bread
745	push-12-1-1	push lever
746	see-30.1	smell dirty floor
747	unknown	take x8, x9, x10, x11
748	roll-51.3.1	drop dagger
749	unknown	get etching
750	unknown	frotz temple
751	sight-30.2	x torn clothes
752	fulfilling-13.4.1	show hand to urchin
753	unknown	swanzo belboz
754	learn-14-1	read cracked
755	preparing-26.3-2	pour liquid on body
756	slide-11.2	move bookshelf
757	put-9.1-2	put sphere on pentagram
758	put-9.1-2	put kettle on stove
759	put_direction-9.4	drop passbook
760	scribble-25.2	write cave on cube
761	unknown	put knife in zipper
762	push-12-1	pull mat
763	unknown	get ekmek
764	put_direction-9.4	drop bladder
765	other_cos-45.4	clean table with cloth
766	put_spatial-9.2-1	sit in large chair
767	unknown	get 3
768	unknown	point it at thorns
769	learn-14-2-1	learn vaxum
770	simple_dressing-41.3.1	wear breeches
771	pour-9.5	pour water on plant
772	unknown	click on more
773	modes_of_being_with_motion-47.3	wave crook
774	unknown	get amber
775	roll-51.3.1	drop biscuit, paper
776	carry-11.4-1-1	push coffin n
777	performance-26.7-1-1	play syrinx
778	spatial_configuration-47.6	open crypt
779	put_direction-9.4	drop clipper
780	other_cos-45.4	open tapestry
781	put_direction-9.4	drop crown, stamp, zorkmid and ruby
782	search-35.2	search stand
783	spatial_configuration-47.6	open cabinet
784	run-51.3.2	climb tree
785	run-51.3.2	n
786	sight-30.2	x chandelier
787	preparing-26.3-2	pour wax on floor
788	unknown	get coffer
789	unknown	get film
790	give-13.1-1	give gold key, portrait and bills to demon
791	roll-51.3.1	drop peridots
792	other_cos-45.4	wake homer
793	learn-14-2-1	read map
794	investigate-35.4	x terrock
795	touch-20-1	touch control stud
796	unknown	put sprig in cauldron
797	unknown	put coins in fur sack
798	modes_of_being_with_motion-47.3	shazok storm
799	roll-51.3.1	drop paper
800	roll-51.3.1	drop vial
801	investigate-35.4	examine pigeons
802	investigate-35.4	examine silver coin
803	unknown	get pearl
804	unknown	urbzig snake
805	learn-14-1	read emerald scratch with glass
806	put_direction-9.4	raise lever
807	push-12-1-1	push chandelier
808	put-9.1-2	put lye on moss
809	unknown	get candy
810	unknown	ask marion about encyclopedia
811	roll-51.3.1	drop aqua vial
812	learn-14-1	read slip of paper
813	transfer_mesg-37.1.1	show ruby to pigeon
814	hit-18.1-1	strike rod of infinity
815	other_cos-45.4	fill it with water
816	other_cos-45.4	open catch
817	other_cos-45.4	open bag
818	funnel-9.3-2-1	push red button
819	spatial_configuration-47.6	open shark repellent
820	wipe_manner-10.4.1-1	wipe web
821	investigate-35.4	x invite
822	unknown	bunyon
823	unknown	put golden cluster in knapsack
824	investigate-35.4	examine remote control
825	give-13.1-1	give gram to alicia
826	unknown	blorple 4
827	roll-51.3.1	guards, drop rifles
828	unknown	drive to trafalgar square
829	carry-11.4	pull branch
830	unknown	turn on film projector
831	unknown	get sprig
832	sight-30.2	examine dresser
833	crane-40.3.2	open tarot box
834	investigate-35.4	examine garlic
835	roll-51.3.1	drop red hat
836	throw-17.1-1-1	throw sceptre in boat
837	unknown	light match
838	sight-30.2	x button
839	unknown	ask sydney for hat
840	carry-11.4-1-1	push it south
841	unknown	get safe
842	put_direction-9.4	drop fruit
843	eat-39.1-2	drink ochre potion
844	unknown	turn off lamp
845	unknown	take watch
846	crane-40.3.2	open aqua vial
847	put_spatial-9.2-1	sit on chair
848	put_direction-9.4	drop letter
849	unknown	take hair dryer
850	learn-14-2-1	learn lleps
851	crane-40.3.2	open fridge
852	investigate-35.4	x apparatus
853	put_direction-9.4	drop silver
854	crane-40.3.2	open toolkit
855	other_cos-45.4	open slab
856	sight-30.2	x thug
857	eat-39.1-1	eat food
858	touch-20-1	pinch me
859	roll-51.3.1	move barrel
860	unknown	get pump
861	wipe_manner-10.4.1-1	lick pet
862	spray-9.7-1	rub it with crayon
863	unknown	put egg in pot
864	unknown	get skull
865	other_cos-45.4	open back door
866	roll-51.3.1	drop knife
867	unknown	get net
868	throw-17.1-1-1	throw brown at black
869	unknown	take erbium
870	carry-11.4	pull line
871	investigate-35.4	x rack
872	unknown	insert blue card in slot
873	unknown	get grimoire from box
874	put_direction-9.4	drop booklet
875	unknown	dig ground with axe
876	run-51.3.2	north
877	sight-30.2	examine toadstool
878	roll-51.3.1	drop pump
879	spatial_configuration-47.6	open envelope
880	unknown	take decaf from pot
881	unknown	reply
882	throw-17.1-1-1	throw club at belt
883	sight-30.2	x librarian
884	push-12-1-1	press 5
885	sight-30.2	x pool
886	unknown	hack terminal
887	get-13.5.1	4
888	unknown	get flippers
889	sight-30.2	x dispenser
890	unknown	put green sphere in pot
891	roll-51.3.1	turn screw
892	unknown	unplug coaxial cable
893	remove-10.1	remove gloves
894	unknown	get test
895	transfer_mesg-37.1.1	show skull to bum
896	touch-20-1	touch information
897	crane-40.3.2	open trunk
898	roll-51.3.1	drop knife and crowbar
899	put_direction-9.4	drop lockpick
900	roll-51.3.1	drop glasses
901	investigate-35.4	x gaping
902	unknown	bozbar horse
903	investigate-35.4	x minerals
904	assuming_position-50	sit on dragon
